ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,DATA_HORA_SESSAO,DIAS_FUNCIONAMENTO,TOT_SALAS_FUNC,REGISTRO_SALA,SALAS_COMPLEXO_INFERIDO,ASSENTOS_COMPLEXO_INFERIDO,UF_COMPLEXO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIU_COTA,TOTAL_SALAS,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,REGISTRO_COMPLEXO,REG_EMPRESA,REGISTRO_GRUPO,CEP_COMPLEXO,MUN_COMPLEXO
2018,22,74531,614190.8991798826,1253,263,3,6,6.0,1395.0,CE,63.0,80.49666666666667,63.0,80.49666666666667,80.49666666666667,0.8666505786493117,0.6348295995693404,0.0,0.0,NÃO,6.0,365.0,0.6348295995693404,0.3732102878211143,0.6509267119701289,d65fc076fba84ca8991c9c99eeed9e39,d53226d1beda4921aa0fc4c7e62d7f50,ca3679a444f340478b647aa0da345901,807df96437e3441d9204249dd2028170,1357c6d128024049adee8d7f3e53e4fe
2018,28,46059,679526.0969178014,2099,293,7,7,7.0,1727.0,SP,63.0,63.0,63.0,63.0,64.42857142857143,0.9938110904076184,0.9213303769401332,0.0,10.0,SIM,7.0,365.0,1.0786696230598671,0.3977096796456808,0.981547941977343,1163ada6f2a94b009f8320ad1f86de69,15978064dee047ed85420fba45482ba2,11cbeee226a9487782cd3186f4a13b7f,cb6ac03adf2040c8b74641bb116dd38b,d3fe92d0f19046e989f67c83162d1341
2018,37,63742,873642.2410570501,2878,336,8,10,10.0,1947.0,AM,56.0,56.167,55.4676554,55.63500000000001,63.13500000000001,0.9980847679521888,0.9562366357804704,0.0,75.0,SIM,10.0,361.5302539464285,1.0437633642195296,0.398560429743442,0.9942653011726682,0ad96692d321451a99d4ec86bb6551ae,15978064dee047ed85420fba45482ba2,11cbeee226a9487782cd3186f4a13b7f,3f3e36d6ffff495e8fb206f50abd976f,36fe37382c5c4819981d523ebde74b43
2018,37,20084,195695.38246126167,1926,350,4,8,8.0,1977.0,SP,60.0,60.0,58.183555000000005,58.18375,58.18375,0.9836050865455304,0.8719573764152362,0.0,0.0,SIM,8.0,353.9499595833333,1.1280426235847638,0.39568533589043015,0.9516172323570892,6b325e97bdd147d39e2950937db79693,6eb645ad2c954f7baed66ce4b714b3c3,251a8d1cf88642d68230eb734abb8d79,7308c0d06724406f951fc89cf8a5cb3d,809402eac2254c79bd5884f0fd6c77ef
2018,13,2293,21805.612587143205,614,203,0,3,3.0,485.0,SP,42.0,42.0,42.0,42.0,42.0,0.9629590262030738,0.8075396825396826,0.0,0.0,SIM,3.0,365.0,1.1924603174603174,0.39162167496381795,0.8929423583628898,9d1376dae46d4a0788ade6f0a15d5bd4,6eb645ad2c954f7baed66ce4b714b3c3,251a8d1cf88642d68230eb734abb8d79,6c85a6ce5e5d4b56ba7fb06c4c3ee5f3,809402eac2254c79bd5884f0fd6c77ef
2018,9,26308,273720.40526965586,386,143,2,2,2.0,411.0,PE,35.0,35.0,34.999998,35.0,35.0,0.9025668367346941,0.687857142857143,0.0,0.0,SIM,2.0,364.9999791428571,1.3121428571428568,0.3799729873014229,0.7352552195345182,a9dfd3db00fb4dc08117acbc8cae2542,1052a6964b0e4167b11977630765be54,dff91e80bc5c433db39d53ce7504742b,24b43723522d44898348e90321ecbab0,a7edfb66159f4d45827fe9da1efcba6e
2018,6,40910,468551.7876833839,261,101,1,1,1.0,348.0,PE,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,SIM,1.0,365.0,2.253571428571429,0.1818343454035986,0.0,3c1eb09cb61c45a0bf21de8908613941,1052a6964b0e4167b11977630765be54,dff91e80bc5c433db39d53ce7504742b,f2c983d592e349bdb4b3883939ac2f16,4ed9fe7a41324154bb3463963fbd5db1
2018,16,26671,449019.4329932321,908,228,4,4,4.0,858.0,DF,49.0,58.005,48.99999725,58.005,58.2775,0.9999999926389768,0.9999142035948694,0.0,1.09,SIM,4.0,364.9999795153061,1.0000857964051306,0.39894227893312106,0.9999999779169308,ad352c8fb051487e8c85e41a250be257,7d533ea2b19c4fbb9027a2547c701548,1ec9196b8bc74dbba7971453f23dc18b,3b2cb2871be948acbc2109f1c1605d22,a2a2fa90ee384404a31a1ec8a1814917
2018,2,593,4841.420460019103,68,28,0,2,3.0,514.0,GO,42.0,42.0,42.0,42.0,42.0,0.29333293020912066,0.15936507936507938,0.0,0.0,NÃO,3.0,365.0,0.15936507936507935,0.2801942775279841,0.025239599644049947,c790159485eb4e9cb17e3c7ea90f48d0,d68649236d9645b7be2fe86947256173,15e485881b8c40d7ae04d73e2af4f6ac,0ae6e2007d83474e8b35f6b96cf50d47,503c466807b2454aa899396e22daff36
2018,7,3740,45063.86091884811,257,169,1,1,1.0,145.0,SP,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,SIM,1.0,365.0,2.0892857142857144,0.22042225817933211,0.0,ec5374dd412e4edda0568b003226236c,c3725df73ad24cd7887d23644bf9673b,fb718528e75a404b9fd0ed683405c202,36539fc3c67c49abaedadd1e21513cd5,8f1453538621453e884b180b551e348f
