ANO_CINEMATOGRAFICO,QTDE_TIT_DIF_EXIB,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO,QTDE_EMPRESAS,QTDE_COMPLEXOS,QTDE_SALAS,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMP_QUADRATIC,CUMP_NORMALIZADO,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROPORCIONAL,CUMP_LINEAR,CUMP_TRIWEIGHT,REGISTRO_GRUPO
2017,55,82589,1177299.5366952815,3842,1.0,1,1,3,3.0,625.0,42.0,42.0,42.0,42.0,42.0,0.9984252960443436,0.3986282960322469,0.0,0.0,1.0396825396825398,0.9603174603174602,0.9603174603174602,50b8edb7c6e74fada0cce825d87cddb6
2017,39,38665,259623.81138331394,940,1.0,1,1,1,1.0,182.0,28.0,28.0,28.0,28.0,28.0,0.4375,0.30113743215480443,0.0,0.0,0.25,0.25,0.25,638909adcd48467b83def1061ddc65ab
2017,32,53826,660958.0075486245,796,1.0,1,1,1,1.0,286.0,28.0,28.0,28.0,28.0,28.0,0.5395408163265305,0.31690028116770225,0.0,0.0,0.32142857142857145,0.3214285714285714,0.3214285714285714,77c74707d1aa4e329e767b7c222be0f9
2017,33,30994,338706.0398254888,662,1.0,1,1,1,1.0,273.0,28.0,28.0,28.0,28.0,28.0,0.9375,0.3866681168028493,0.0,0.0,0.75,0.75,0.75,0a19c685ac42453094302339978fa9ed
2017,84,79934,1103181.1173135068,4123,1.0,1,1,4,4.0,600.0,49.0,49.0,48.99999725,48.99999725,49.0,0.9817198563098708,0.3953125326435081,0.0,0.0,0.8647959183673469,0.8647959183673469,0.8647959183673469,b05aa106680e4b12a43d1525013f2d1b
2017,37,28329,379341.0633607455,676,1.0,1,1,1,1.0,430.0,28.0,28.0,28.0,28.0,28.0,0.9614158163265306,0.3913196142962197,0.0,0.0,0.8035714285714286,0.8035714285714286,0.8035714285714286,63d5eaf56be94458b8e613f763bb2831
2017,44,30821,413741.65354844695,1045,2.0,1,2,4,4.0,675.0,38.5,38.5,15.6205495,15.6205495,15.62,0.9425167141833658,0.3876392359633976,0.0,0.0,0.7602432778489117,0.7602432778489117,0.7602432778489117,bb02f2e974ec4c38a99092e4145e8bf4
2017,55,27551,337275.1344023627,1737,1.0,1,1,3,3.0,401.0,42.0,42.0,42.0,42.0,42.0,0.8487654320987654,0.3698877058337353,0.0,0.0,0.6111111111111112,0.6111111111111112,0.6111111111111112,cf389e224b1c48e193cdead767a1484f
2017,26,19458,272127.53812598466,489,1.0,1,1,1,1.0,154.0,28.0,28.0,28.0,28.0,28.0,0.8456632653061225,0.3693144238737143,0.0,0.0,1.3928571428571428,0.6071428571428572,0.6071428571428572,bd80654caea9486791cc785ec0644d7c
2017,26,12856,158766.52077753036,559,1.0,1,1,1,1.0,287.0,28.0,28.0,28.0,28.0,28.0,0.9375,0.3866681168028493,0.0,0.0,1.25,0.75,0.75,d0643cade41248f899bf0fcee3f7b899
2017,36,40545,387225.5172393813,1081,1.0,1,1,1,1.0,211.0,28.0,28.0,28.0,28.0,28.0,0.5634566326530611,0.3207124932416849,0.0,0.0,1.6607142857142858,0.3392857142857142,0.3392857142857142,44d955086d294ffab54685e5a0b0bf6e
2017,31,13017,135620.74307483813,1109,1.0,1,1,1,1.0,70.0,28.0,28.0,28.0,28.0,28.0,0.234375,0.2720549983785435,0.0,0.0,0.125,0.125,0.125,bd5552265d9841f191f27a8ac8565b53
2017,3,775,4462.214756069236,49,1.0,1,1,1,1.0,100.0,28.0,28.0,28.0,28.0,28.0,0.9183673469387756,0.3829867599442122,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,97ab32ad46f14d0da8ce050c16a9ffff
2017,53,11925,123381.75270865654,691,1.0,1,1,1,1.0,131.0,28.0,28.0,28.0,28.0,28.0,0.9795918367346941,0.39489213993026107,0.0,0.0,1.1428571428571428,0.8571428571428572,0.8571428571428572,5bc518ba102142da90fcf8d692481eb7
2017,14,801,7380.9175638382385,114,1.0,1,1,1,1.0,90.0,28.0,28.0,21.939727,21.939727,21.94,0.0,0.18124621015113526,0.0,0.0,2.256153144940748,0.0,0.0,b7c03258444e4ec5a6ffcec53f3023a7
2017,33,21427,86289.33798993357,756,1.0,1,1,1,1.0,120.0,28.0,28.0,27.386302,27.386302,27.39,0.9455725920709624,0.3882319777694971,0.0,0.0,0.7667031763417306,0.7667031763417306,0.7667031763417306,2a6a9154ef234e1789c80223e626f6c8
2017,26,39269,498229.07909953094,557,1.0,1,1,1,1.0,193.0,28.0,28.0,28.0,28.0,28.0,0.8456632653061225,0.3693144238737143,0.0,0.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,ec94bfb465034c038f3196489c130685
2017,50,99006,1193606.025769737,2643,1.0,1,1,2,2.0,274.0,35.0,35.0,34.999998,34.999998,35.0,0.8724489795918368,0.3742938692643696,0.0,0.0,0.6428571428571429,0.6428571428571429,0.6428571428571429,35d8dad08355447fa5e47793900829db
2017,48,100177,1076200.0308551248,1908,1.0,1,1,2,2.0,398.0,35.0,35.0,34.999998,34.999998,35.0,0.91,0.3813878154605241,0.0,0.0,0.7,0.7,0.7,0eca0dfdf0424572a8b5f80564043a94
2017,34,45511,653864.3587199175,817,1.0,1,1,1,1.0,223.0,28.0,28.0,28.0,28.0,28.0,0.0,0.2419707245191433,0.0,0.0,0.0,0.0,0.0,95a5a7b59db34ac5ba8c7e9dcf1a1632
2017,19,10785,118605.29375432586,892,1.0,1,1,1,1.0,143.0,28.0,28.0,28.0,28.0,28.0,0.7318239795918369,0.3488802484162101,0.0,0.0,0.4821428571428572,0.4821428571428572,0.4821428571428572,9ec47e412282431fafc7d0a28944bf9a
2017,32,11257,254910.95456660035,661,1.0,1,1,2,2.0,200.0,35.0,35.0,34.999998,34.999998,35.0,0.18999999999999995,0.2660852498987548,0.0,0.0,0.1,0.09999999999999998,0.09999999999999998,be09e594e2a942aeb241dd7a5d2672cd
2017,4,2496,34639.431702738475,50,1.0,1,1,1,1.0,200.0,35.0,35.0,22.6876705,22.6876705,22.69,0.0,0.2419707245191433,0.0,0.0,0.0,0.0,0.0,d9289245e9084f7ea9b60d32ea618733
2017,28,36350,282773.2370571576,1072,2.0,1,2,2,2.0,255.0,28.0,28.0,17.1068495,17.1068495,17.105,0.3673683213051838,0.2907607913956057,0.0,0.0,0.20461853259280915,0.20461853259280915,0.20461853259280915,ab5892c51070427e8757ae731cc01054
2017,110,19017,176717.00253889646,1301,1.0,1,1,2,2.0,296.0,35.0,35.0,34.999998,34.999998,35.0,0.0,0.18264908538902191,0.0,0.0,2.25,0.0,0.0,56951ee5f4674aa9ac0a0b6581506928
2017,39,42746,471326.8935625259,1996,1.0,1,1,2,2.0,350.0,35.0,35.0,34.999998,34.999998,35.0,0.18999999999999995,0.2660852498987548,0.0,0.0,0.1,0.09999999999999998,0.09999999999999998,2a5b52de8d6c41d5a631a0f60f9485d5
2017,47,12616,119837.9347518492,718,1.0,1,1,1,1.0,130.0,28.0,28.0,28.0,28.0,28.0,0.9461096938775512,0.3883362518186331,0.0,0.0,0.7678571428571429,0.7678571428571429,0.7678571428571429,6d8a5352eae74956a4aff69713d069ed
2017,42,46106,765983.7585984062,1020,1.0,1,1,1,1.0,124.0,28.0,28.0,28.0,28.0,28.0,0.41039540816326536,0.2970838582202445,0.0,0.0,0.23214285714285715,0.2321428571428572,0.2321428571428572,2239bbe8076f4e8aa046844efd469406
2017,40,16557,204597.98216516816,881,1.0,1,1,1,1.0,222.0,28.0,28.0,28.0,28.0,28.0,0.1377551020408163,0.25922445209057304,0.0,0.0,0.07142857142857142,0.0714285714285714,0.0714285714285714,e0c6827e341c44bc8955dc6acfbb35ed
2017,56,46865,932875.7810568805,1638,1.0,1,1,2,2.0,211.0,35.0,35.0,34.999998,34.999998,35.0,0.91,0.3813878154605241,0.0,0.0,0.7,0.7,0.7,d37ed2ba3ef943e092fa2e55699e9083
