REGISTRO DO COMPLEXO,REGISTRO DO GRUPO,NOME DO GRUPO,REGISTRO DA EMPRESA,NOME DA EMPRESA,NOME DO COMPLEXO,TOTAL SALAS DO COMPLEXO,Nº DE DIAS OBRIGAÇÃO PROPORCIONAL,OBRIGAÇÃO_TOTAL+INCREMENTO,OBRIGAÇÃO_PROP+INCREMENTO,OBRIGAÇÃO_TOTAL,OBG_FINAL,Nº DE DIAS VALIDADOS,Nº DE TÍTULOS DIFERENTES OBRIGAÇÃO,Nº DE TÍTULOS DIFERENTES DECLARADOS,CUMPRIU COTA,ANO,TRANSFERÊNCIA Dias Origem,TRANSFERÊNCIA Dias Recebidos,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL+INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP+INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROPORCIONAL,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_LINEAR,CUMPRIMENTO_NORMALIZADO,CUMPRIMENTO_TRIWEIGHT
896,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,713 CINEMARK ABC PLAZA,10,559.840853,560.0,559.84,560,745.84,774.62,15,31,SIM,2018,0.0,186.0,56.0,56.0,55.984085300000004,55.984,74.584,1.038587364582216,364.8962702589286,0.9985110152945992,0.9614126354177841,0.39864538145771505,0.9955396938089649
2533,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,714 CINEMARK INTERLAGOS,10,559.999755,560.0,560.0,560,808.0,840.43,15,29,SIM,2018,0.0,248.0,56.0,56.0,55.999975500000005,56.0,80.8,1.0401361386138612,364.99984031250006,0.9983890903771689,0.9598638613861388,0.39862107979585804,0.9951750520405871
11840,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,715 CINEMARK ELDORADO,9,528.394749,531.0,528.39,531,440.39,467.5,14,36,SIM,2018,88.0,0.0,59.0,59.0,58.71052766666667,58.71,48.93222222222222,1.0615590726401598,363.20919658192093,0.9962104805756835,0.9384409273598402,0.3981870963131775,0.9886744686802198
897,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,716 CINEMARK ARICANDUVA,13,618.808154,624.0,618.81,624,899.81,934.21,20,33,SIM,2018,0.0,281.0,48.0,48.0,47.60062723076923,47.600769230769224,69.21615384615384,1.0382302930618688,361.963102900641,0.9985384446924036,0.9617697069381312,0.39865084879658186,0.9956217393868698
900,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,717 CINEMARK TAMBORE.,9,528.764594,531.0,528.76,531,507.76,535.12,14,23,SIM,2018,21.0,0.0,59.0,59.0,58.75162155555555,58.75111111111111,56.41777777777778,1.0538837245942965,363.4634214877589,0.997096544223846,0.9461162754057035,0.3983635449520778,0.9913148983615769
2534,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,718 CINEMARK TAGUATINGA.,9,531.0,531.0,531.0,531,609.0,721.48,14,27,SIM,2018,0.0,78.0,59.0,59.0,59.0,59.0,67.66666666666667,1.184696223316913,365.0,0.965887305092469,0.8153037766830871,0.39219548367100565,0.9011132470161848
899,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,719 CINEMARK DOWNTOWN,12,598.211258,600.0,598.21,600,891.21,927.47,18,59,SIM,2018,0.0,293.0,50.0,50.0,49.85093816666667,49.850833333333334,74.2675,1.0406862580087746,363.9118486166667,0.9983446284092434,0.9593137419912254,0.3986122181555277,0.9950421014569003
2535,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,720 CINEMARK PIER 21,13,623.999891,624.0,624.0,624,869.0,900.5,20,57,SIM,2018,0.0,245.0,48.0,48.0,47.999991615384616,48.0,66.84615384615384,1.0362485615650172,364.9999362419872,0.9986860417844672,0.9637514384349828,0.39868026973519527,0.9960633025434473
2536,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,721 CINEMARK HIGIENOPOLIS,6,378.0,378.0,378.0,378,296.0,315.8,9,20,SIM,2018,82.0,0.0,63.0,63.0,63.0,63.0,49.333333333333336,1.066891891891892,365.0,0.9955254747991235,0.9331081081081081,0.3980507394352596,0.9866363989385397
15598,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,723 CINEMARK PAULISTA,7,440.82761,441.0,440.83,441,310.83,333.52,11,23,SIM,2018,130.0,0.0,63.0,63.0,62.97537285714286,62.97571428571428,44.40428571428571,1.0729981018563202,364.8573189342403,0.9946712771253743,0.9270018981436798,0.3978807687271594,0.9840988659279286
