ANO_CINEMATOGRAFICO,G_QTDE_TIT_DIF_EXIB,G_QTDE_DIF_TIT_EXIB_BR,G_QTDE_DIF_TIT_EXIB_EST,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO_GRUPO,REG_EMPRESA,REGISTRO_COMPLEXO,REGISTRO_SALA,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,CAPACIDADE_TOTAL_GRUPO,OCUPAÇÃO_MÉDIA,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,CUMPRIMENTO_NORMALIZADO,DIAS_FUNCIONAMENTO,QTDE_DIF_TIT_EXIB,QTDE_DIF_TIT_EXIB_BR,QTDE_DIF_TIT_EXIB_EST,REGISTRO_GRUPO
2017,2,2,0,98,634.3160142795887,13,1.0,1,1,1,1.0,1535.0,19955.0,0.004911049862189927,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.20280612244897955,0.10714285714285714,0.1071428571428571,0.1071428571428571,0.2677944763458458,,,,,99a61635c7244a9099cd4f7401b8839c
2017,3,3,0,1579,16814.0200608011,40,1.0,1,1,1,1.0,450.0,18000.0,0.08772222222222223,28.0,28.0,24.317809,24.317809,24.32,0.0,0.0,0.7221253624913435,0.4728618421052632,0.4728618421052632,0.4728618421052632,0.3471925159197288,,,,,7e0fb7ee334c494b8f75a06c9b8bcd37
2017,15,15,0,2797,11556.15410017912,152,1.0,1,1,1,1.0,110.0,16720.0,0.16728468899521542,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9540816326530612,1.2142857142857142,0.7857142857142858,0.7857142857142858,0.3898872372672994,,,,,5330247490174a6da94cea2b89e98f3b
2017,7,7,0,2795,19606.207005399745,148,1.0,1,1,2,2.0,342.0,50616.0,0.1128622799285994,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.6734693877551021,0.42857142857142855,0.4285714285714286,0.4285714285714286,0.3388479357567876,,,,,1adb2742d3bd4bf88aa8dcf5268ae538
2017,6,6,0,3355,34617.80850458462,233,1.0,1,1,2,2.0,747.0,174051.0,0.0770132493655689,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.9681122448979592,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.3926320321210658,,,,,c3dcb30a1b64455e92f962c1b907f972
2017,6,6,0,988,13544.195470024915,96,1.0,1,1,1,2.0,312.0,29952.0,0.10291666666666667,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.4587244897959183,0.2642857142857143,0.26428571428571423,0.26428571428571423,0.30435019348615794,,,,,cf9a34b69fb74db589fcd9c13f0f6d03
2017,10,10,0,17729,161051.80950070248,507,1.0,1,1,3,3.0,993.0,503451.0,0.11872882690953503,42.0,42.0,42.0,42.0,42.0,0.0,0.0,0.9948979591836736,1.0714285714285714,0.9285714285714286,0.9285714285714286,0.3979258674986881,,,,,240df7ff8b9b479f88023d666393f669
2017,12,12,0,3589,30313.454566063483,120,1.0,1,1,1,1.0,200.0,24000.0,0.1495416666666667,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.859375,1.375,0.625,0.625,0.37185509386976895,,,,,7b9fbeedc8c84a989b42f82d92e8f0fc
2017,11,11,0,3935,41073.73710015716,409,1.0,1,1,4,4.0,753.0,307977.0,0.05606687928347921,49.0,49.0,48.99999725,48.99999725,49.0,0.0,0.0,0.7265136922115785,0.4770408163265306,0.4770408163265306,0.4770408163265306,0.34795514990423443,,,,,a3c26628f0954132987e912935d13519
2017,1,1,0,68,288.69802787422526,2,1.0,1,1,1,2.0,332.0,664.0,0.16037735849056606,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24197072451914334,,,,,eddb9f2d39ae422dbc5630d618b0a2ca
